0,1,2,3,4,5,6,7,8
01,01_Lomé.Nekketsu_23.01.23_matin_BI,"('f', '*')","('p', '*')","('p', '*')","('p', '+')","('f', '+')","('f', '*')","('p', '*')"
02,02_Lips.Pipo_25.01.23_matin_UNI,"('f', '*')","('f', '*')","('f', '*')","('f', '+')","('f', '*')","('f', '*')"
03,03_Bobo.Mako_26.01.23_matin_UNI,"('f', '*')","('p', '*')","('p', '*')","('p', '*')","('p', '+')","('f', '*')","('p', '*')","('f', '*')"
04,04_Angèle.Violette_26.01.23_matin_UNI,"('f', '*')","('f', '*')","('f', '*')","('f', '+')","('p', '*')","('f', '+')","('p', '*')","('f', '*')"
05,05_Bobo.Muse_30.01.23_matin_UNI,"('p', '*')","('p', '*')","('f', '*')","('p', '+')","('p', '+')","('p', '*')","('f', '*')"
06,06_Bobo.Muse_30.01.23_aprem_UNI,"('f', '*')","('p', '*')","('p', '*')","('p', '+')","('p', '+')","('f', '*')","('p', '*')","('f', '*')"
07,07_Fana.Petoulette_31.01.23_matin_UNI,"('p', '*')","('p', '*')","('p', '*')","('p', '+')","('p', '+')","('p', '*')","('f', '*')"
08,08_Petoulette.Pipo_01.02.23_matin.UNI,"('f', '*')","('f', '*')","('f', '+')","('f', '+')","('p', '*')","('p', '*')","('f', '*')","('p', '*')"
09,09_Nekketsu.Feya_15.03.23_aprem_UNI,"('p', '*')","('f', '*')","('f', '*')","('f', '+')","('f', '+')","('p', '*')","('f', '*')"
10,10_Fana.Mali_15.03.23_aprem_UNI,"('f', '*')","('p', '*')","('p', '*')","('p', '*')","('p', '+')","('f', '*')","('f', '*')","('p', '*')"
